Territorialidade,Posição IDHM no Brasil,IDHM,Posição IDHM Renda,IDHM Renda,Posição IDHM Educação,IDHM Educação,Posição IDHM Longevidade,IDHM Longevidade,
Quinta do Sol (PR),1454,0.721,1915,0.689,1370,0.631,1075,0.842,
São Sebastião da Amoreira (PR),1454,0.718,1915,0.689,1010,0.651,2453,0.814,
Farol (PR),1454,0.718,2405,0.671,787,0.665,2259,0.818,
Formosa do Sul (SC),1454,0.722,848,0.728,2084,0.593,943,0.845,
Arvoredo (SC),1454,0.722,1217,0.713,1766,0.610,1075,0.842,
Pouso Novo (RS),1454,0.715,232,0.765,2654,0.566,943,0.845,
Palmares do Sul (RS),1454,0.715,918,0.725,2111,0.592,643,0.852,
Putinga (RS),1454,0.715,517,0.745,2707,0.563,147,0.873,
Nova Esperança do Sudoeste (PR),1486,0.717,1190,0.714,1329,0.633,2899,0.805,
Terra Roxa (PR),1486,0.718,1678,0.697,1209,0.639,2259,0.818,
Quatiguá (PR),1486,0.716,1858,0.691,945,0.655,2990,0.803,
Catanduvas (SC),1486,0.718,961,0.723,1492,0.625,2849,0.806,
Riqueza (SC),1486,0.719,1516,0.702,1517,0.624,1647,0.830,
Campo Alegre (SC),1486,0.719,2230,0.677,1271,0.636,943,0.845,
Glorinha (RS),1486,0.714,1136,0.716,2084,0.593,451,0.859,
Mormaço (RS),1486,0.714,715,0.735,2427,0.576,425,0.86,
Rondon (PR),1514,0.718,937,0.724,1766,0.610,2161,0.820,
Carlópolis (PR),1514,0.718,1707,0.696,1492,0.625,1560,0.832,
Presidente Castelo Branco (PR),1514,0.720,1741,0.695,1802,0.608,501,0.857,
São José das Palmeiras (PR),1514,0.719,1996,0.686,1457,0.627,986,0.844,
Perobal (PR),1514,0.717,2035,0.684,1232,0.638,1647,0.830,
Cruzeiro do Sul (PR),1514,0.717,2090,0.682,1176,0.641,1747,0.828,
Imbuia (SC),1514,0.719,1136,0.716,1921,0.602,1183,0.840,
Águas de Chapecó (SC),1514,0.717,1248,0.712,1416,0.629,2611,0.811,
Canudos do Vale (RS),1514,0.713,398,0.751,2475,0.574,1183,0.84,
Portão (RS),1514,0.713,918,0.725,2266,0.584,527,0.856,
Itaqui (RS),1514,0.713,1967,0.687,1473,0.626,1032,0.843,
Japurá (PR),1546,0.717,1649,0.698,1535,0.623,1704,0.829,
Bom Jesus do Oeste (SC),1546,0.719,918,0.725,1945,0.601,1647,0.830,
Venâncio Aires (RS),1546,0.712,692,0.736,1957,0.6,2259,0.818,
Jaguari (RS),1546,0.712,739,0.734,2633,0.567,276,0.866,
Sede Nova (RS),1546,0.712,398,0.751,3137,0.543,22,0.886,
Lindolfo Collor (RS),1546,0.712,1248,0.712,1945,0.601,1075,0.842,
Eugênio de Castro (RS),1546,0.712,1678,0.697,2266,0.584,40,0.885,
Erebango (RS),1546,0.712,1915,0.689,1473,0.626,1315,0.837,
Crissiumal (RS),1546,0.712,1516,0.702,1670,0.616,1419,0.835,
Santa Vitória do Palmar (RS),1546,0.712,1318,0.709,2133,0.591,390,0.861,
Missal (PR),1574,0.717,1190,0.714,1802,0.608,1747,0.828,
Sapiranga (RS),1574,0.711,989,0.722,1995,0.598,1560,0.832,
Morrinhos do Sul (RS),1574,0.711,1039,0.72,2084,0.593,1075,0.842,
Ibaiti (PR),1595,0.716,639,0.738,2035,0.596,2504,0.813,
Quarto Centenário (PR),1595,0.715,937,0.724,1904,0.603,2216,0.819,
Prado Ferreira (PR),1595,0.717,1372,0.707,2084,0.593,643,0.852,
Lupionópolis (PR),1595,0.718,1473,0.703,2045,0.595,527,0.856,
Nova Olímpia (PR),1595,0.714,1605,0.699,1370,0.631,2504,0.813,
Terra Rica (PR),1595,0.716,1649,0.698,1712,0.613,1315,0.837,
Santa Cruz de Monte Castelo (PR),1595,0.715,2119,0.681,1329,0.633,1603,0.831,
Novo Itacolomi (PR),1595,0.715,2119,0.681,1329,0.633,1603,0.831,
Pitangueiras (PR),1595,0.715,2428,0.670,1308,0.634,1075,0.842,
Witmarsum (SC),1595,0.722,621,0.739,2844,0.557,204,0.870,
São Miguel da Boa Vista (SC),1595,0.714,765,0.733,1687,0.615,3329,0.795,
Barracão (RS),1595,0.71,1268,0.711,2600,0.568,40,0.885,
Pinheirinho do Vale (RS),1595,0.71,1217,0.713,1822,0.607,1747,0.828,
Três Coroas (RS),1595,0.71,596,0.74,2266,0.584,1704,0.829,
Paulo Bento (RS),1595,0.71,817,0.73,2531,0.571,473,0.858,
Cruzeiro do Iguaçu (PR),1638,0.712,1473,0.703,1176,0.641,3428,0.792,
Ampére (PR),1638,0.714,1605,0.699,1593,0.620,1951,0.824,
Ouro Verde do Oeste (PR),1638,0.713,1939,0.688,1308,0.634,2307,0.817,
Paranapoema (PR),1638,0.714,2149,0.680,1416,0.629,1464,0.834,
Nossa Senhora das Graças (PR),1638,0.714,2182,0.679,1370,0.631,1560,0.832,
Jardinópolis (SC),1638,0.714,1346,0.708,1744,0.611,1987,0.823,
São Pedro do Sul (RS),1638,0.709,1649,0.698,1615,0.619,1951,0.824,
Tupanciretã (RS),1638,0.709,1008,0.721,2035,0.596,1747,0.828,
Piraí do Sul (PR),1665,0.712,1516,0.702,1615,0.619,2357,0.816,
Alvorada do Sul (PR),1665,0.713,1741,0.695,1649,0.617,1846,0.826,
Paulo Frontin (PR),1665,0.711,1939,0.688,1209,0.639,2849,0.806,
Mallet (PR),1665,0.712,2119,0.681,1097,0.645,2696,0.809,
Juranda (PR),1665,0.712,2212,0.678,1209,0.639,2259,0.818,
Flor do Sertão (SC),1665,0.712,692,0.736,1802,0.608,3428,0.792,
Apiúna (SC),1665,0.715,715,0.735,2266,0.584,1798,0.827,
Ibicaré (SC),1665,0.715,739,0.734,2233,0.586,1846,0.826,
Galvão (SC),1665,0.712,1449,0.704,1633,0.618,2407,0.815,
Itaiópolis (SC),1665,0.714,1576,0.700,1835,0.606,1370,0.836,
Mirim Doce (SC),1665,0.712,2061,0.683,1329,0.633,2112,0.821,
Campos Borges (RS),1665,0.708,1449,0.704,1670,0.616,2216,0.819,
Tenente Portela (RS),1665,0.708,1318,0.709,1904,0.603,1647,0.83,
São Sepé (RS),1665,0.708,1346,0.708,2427,0.576,181,0.871,
Dom Pedrito (RS),1665,0.708,1166,0.715,2245,0.585,792,0.848,
Rancho Alegre (PR),1696,0.711,1858,0.691,1329,0.633,2754,0.808,
Conselheiro Mairinck (PR),1696,0.710,2295,0.675,1020,0.650,2849,0.806,
Itaguajé (PR),1696,0.709,2375,0.672,802,0.664,3475,0.791,
Iracema do Oeste (PR),1696,0.713,2375,0.672,1395,0.630,1370,0.836,
Leópolis (PR),1696,0.711,2709,0.657,815,0.663,2562,0.812,
Sul Brasil (SC),1696,0.713,1217,0.713,2045,0.595,1560,0.832,
Irati (SC),1696,0.713,1768,0.694,1782,0.609,1370,0.836,
Arroio do Tigre (RS),1696,0.707,1346,0.708,2174,0.589,792,0.848,
Áurea (RS),1696,0.707,1166,0.715,2185,0.588,1128,0.841,
Jaguarão (RS),1696,0.707,1649,0.698,1802,0.608,1560,0.832,
Derrubadas (RS),1696,0.707,2562,0.664,1433,0.628,901,0.846,
São José do Hortêncio (RS),1696,0.707,1111,0.717,2014,0.597,1951,0.824,
Capanema (PR),1720,0.710,1069,0.719,1744,0.611,3077,0.801,
Barracão (PR),1720,0.713,1136,0.716,2157,0.590,1515,0.833,
Laranjeiras do Sul (PR),1720,0.713,1318,0.709,2065,0.594,1419,0.835,
Planalto (PR),1720,0.709,1449,0.704,1271,0.636,3629,0.786,
Xambrê (PR),1720,0.711,1473,0.703,1835,0.606,1905,0.825,
Lapa (PR),1720,0.713,1707,0.696,2045,0.595,792,0.848,
Iporã (PR),1720,0.712,1707,0.696,1744,0.611,1704,0.829,
Ivaté (PR),1720,0.709,2035,0.684,1176,0.641,2990,0.803,
Dionísio Cerqueira (SC),1720,0.711,1473,0.703,1766,0.610,2161,0.820,
Princesa (SC),1720,0.711,1547,0.701,1744,0.611,2161,0.820,
Novo Horizonte (SC),1720,0.713,1576,0.700,2065,0.594,901,0.846,
Três Barras (SC),1720,0.710,2230,0.677,1209,0.639,2453,0.814,
Campestre da Serra (RS),1720,0.706,1217,0.713,2844,0.557,22,0.886,
Paim Filho (RS),1720,0.706,918,0.725,2816,0.558,204,0.87,
Novo Barreiro (RS),1720,0.706,739,0.734,2065,0.594,2754,0.808,
Chuí (RS),1720,0.706,2266,0.676,898,0.658,3428,0.792,
Coxilha (RS),1720,0.706,1797,0.693,2233,0.586,276,0.866,
Doutor Maurício Cardoso (RS),1720,0.706,1372,0.707,2084,0.593,1183,0.84,
Santa Fé (PR),1756,0.710,1008,0.721,1945,0.601,2754,0.808,
Santa Tereza do Oeste (PR),1756,0.709,1996,0.686,1350,0.632,2754,0.808,
Planaltina do Paraná (PR),1756,0.708,2090,0.682,1082,0.646,3329,0.795,
Jesuítas (PR),1756,0.711,2149,0.680,1687,0.615,1238,0.839,
Inajá (PR),1756,0.708,2266,0.676,1176,0.641,2805,0.807,
União do Oeste (SC),1756,0.711,1473,0.703,1835,0.606,1987,0.823,
Santa Rosa do Sul (SC),1756,0.709,1516,0.702,1633,0.618,2849,0.806,
Belmonte (SC),1756,0.710,1605,0.699,1744,0.611,2161,0.820,
Vila Lângaro (RS),1756,0.705,297,0.759,2967,0.551,1238,0.839,
São Miguel do Iguaçu (PR),1776,0.711,897,0.726,2185,0.588,2259,0.818,
Siqueira Campos (PR),1776,0.712,1346,0.708,2185,0.588,1238,0.839,
Santa Mônica (PR),1776,0.707,1649,0.698,1395,0.630,3428,0.792,
Araruna (PR),1776,0.706,2020,0.685,1050,0.648,3649,0.785,
São Pedro do Paraná (PR),1776,0.710,2212,0.678,1670,0.616,1370,0.836,
Campina da Lagoa (PR),1776,0.710,2230,0.677,1535,0.623,1704,0.829,
Rancho Alegre D'Oeste (PR),1776,0.710,2343,0.673,1492,0.625,1603,0.831,
Salto do Itararé (PR),1776,0.709,2626,0.661,1370,0.631,1370,0.836,
Lontras (SC),1776,0.711,715,0.735,2352,0.579,2161,0.820,
Palma Sola (SC),1776,0.707,1576,0.700,1556,0.622,3129,0.800,
Papanduva (SC),1776,0.710,1858,0.691,1904,0.603,1370,0.836,
Chapadão do Lageado (SC),1776,0.710,2149,0.680,1670,0.616,1515,0.833,
Caçapava do Sul (RS),1776,0.704,1605,0.699,2245,0.585,551,0.855,
Parobé (RS),1776,0.704,1576,0.7,2729,0.562,22,0.886,
Quaraí (RS),1776,0.704,2343,0.673,1782,0.609,643,0.852,
Castro (PR),1811,0.709,1449,0.704,1957,0.600,1987,0.823,
Tapejara (PR),1811,0.708,1768,0.694,1727,0.612,2216,0.819,
Maria Helena (PR),1811,0.710,2149,0.680,1822,0.607,1075,0.842,
Iguatu (PR),1811,0.707,2375,0.672,1248,0.637,2562,0.812,
Araquari (SC),1811,0.709,1707,0.696,1921,0.602,1647,0.830,
Três Palmeiras (RS),1811,0.703,478,0.747,2776,0.56,1560,0.832,
Campo Novo (RS),1811,0.703,2230,0.677,2084,0.593,276,0.866,
Boa Vista do Cadeado (RS),1811,0.703,1817,0.692,2157,0.59,702,0.851,
Entre Rios do Sul (RS),1811,0.703,1318,0.709,2509,0.572,501,0.857,
Caseiros (RS),1811,0.703,1707,0.696,1957,0.6,1515,0.833,
Vitorino (PR),1842,0.709,848,0.728,2304,0.582,2259,0.818,
Pitanga (PR),1842,0.706,1707,0.696,1577,0.621,3026,0.802,
Guapirama (PR),1842,0.705,2513,0.666,1097,0.645,2899,0.805,
Correia Pinto (SC),1842,0.706,1547,0.701,1703,0.614,2940,0.804,
Muitos Capões (RS),1842,0.702,1268,0.711,2816,0.558,147,0.873,
Viadutos (RS),1842,0.702,1166,0.715,2757,0.561,319,0.864,
Nonoai (RS),1842,0.702,1473,0.703,2133,0.591,1515,0.833,
Morro Redondo (RS),1842,0.702,1069,0.719,2844,0.557,319,0.864,
Primeiro de Maio (PR),1866,0.707,1741,0.695,1977,0.599,1846,0.826,
Braganey (PR),1866,0.704,1915,0.689,1457,0.627,3252,0.797,
Campo Magro (PR),1866,0.707,2020,0.685,1822,0.607,1747,0.828,
Ribeirão do Pinhal (PR),1866,0.706,2035,0.684,1744,0.611,1951,0.824,
Florestópolis (PR),1866,0.705,2090,0.682,1492,0.625,2805,0.807,
Morro Grande (SC),1866,0.712,565,0.742,3029,0.548,846,0.847,
Barra Bonita (SC),1866,0.707,1817,0.692,1977,0.599,1647,0.830,
Mariana Pimentel (RS),1866,0.701,1547,0.701,2600,0.568,276,0.866,
Tabaí (RS),1866,0.701,1768,0.694,2045,0.595,1464,0.834,
Travesseiro (RS),1866,0.701,715,0.735,2798,0.559,1238,0.839,
Centenário (RS),1866,0.701,1372,0.707,2578,0.569,527,0.856,
Porto Amazonas (PR),1904,0.706,1346,0.708,2045,0.595,2407,0.815,
Pérola (PR),1904,0.705,1449,0.704,1822,0.607,2940,0.804,
Joaquim Távora (PR),1904,0.704,1605,0.699,1712,0.613,3077,0.801,
Piraquara (PR),1904,0.711,1915,0.689,2475,0.574,222,0.869,
Santa Mariana (PR),1904,0.704,2035,0.684,1517,0.624,2940,0.804,
Salgado Filho (PR),1904,0.706,2090,0.682,1880,0.604,1603,0.831,
Boa Esperança do Iguaçu (PR),1904,0.708,2343,0.673,1921,0.602,792,0.848,
Vidal Ramos (SC),1904,0.706,848,0.728,2185,0.588,3026,0.802,
Paraíso (SC),1904,0.709,848,0.728,2671,0.565,1515,0.833,
Sangão (SC),1904,0.711,918,0.725,2908,0.554,610,0.853,
Boqueirão do Leão (RS),1904,0.7,918,0.725,2729,0.562,1032,0.843,
Cacequi (RS),1904,0.7,2149,0.68,1473,0.626,2805,0.807,
Ubiretama (RS),1904,0.7,1858,0.691,1712,0.613,2696,0.809,
Almirante Tamandaré (PR),1934,0.707,1405,0.706,2457,0.575,1183,0.840,
Vera Cruz do Oeste (PR),1934,0.705,1516,0.702,1945,0.601,2611,0.811,
Saudade do Iguaçu (PR),1934,0.703,1741,0.695,1744,0.611,2990,0.803,
Tomazina (PR),1934,0.704,2626,0.661,1556,0.622,1704,0.829,
Irineópolis (SC),1934,0.708,1039,0.720,2633,0.567,1370,0.836,
Bom Retiro (SC),1934,0.711,1449,0.704,2798,0.559,222,0.869,
Anchieta (SC),1934,0.704,1473,0.703,1802,0.608,3129,0.800,
Urupema (SC),1934,0.704,2490,0.667,1556,0.622,1987,0.823,
Caiçara (RS),1934,0.699,1008,0.721,2338,0.58,2307,0.817,
Lavras do Sul (RS),1934,0.699,2061,0.683,2399,0.577,238,0.868,
São Gabriel (RS),1934,0.699,1268,0.711,2245,0.585,2064,0.822,
Rosário do Sul (RS),1934,0.699,1424,0.705,2427,0.576,1128,0.841,
Alvorada (RS),1934,0.699,1768,0.694,2690,0.564,135,0.874,
Brochier (RS),1934,0.699,961,0.723,2908,0.554,702,0.851,
Maximiliano de Almeida (RS),1934,0.699,1605,0.699,2133,0.591,1905,0.825,
Mariópolis (PR),1969,0.704,1111,0.717,2133,0.591,2940,0.804,
Guaraci (PR),1969,0.704,1797,0.693,1995,0.598,2112,0.821,
Nova América da Colina (PR),1969,0.702,2747,0.655,1133,0.643,2696,0.809,
Major Gercino (SC),1969,0.706,639,0.738,2707,0.563,2259,0.818,
Água Doce (SC),1969,0.706,937,0.724,2475,0.574,2161,0.820,
Santa Cecília (SC),1969,0.704,1678,0.697,2014,0.597,2216,0.819,
Porto Mauá (RS),1969,0.698,2375,0.672,1802,0.608,1603,0.831,
Fazenda Vilanova (RS),1969,0.698,897,0.726,2844,0.557,1128,0.841,
Passo do Sobrado (RS),1969,0.698,897,0.726,2967,0.551,702,0.851,
Candiota (RS),1969,0.698,1449,0.704,2729,0.562,425,0.86,
Arroio dos Ratos (RS),1969,0.698,1576,0.7,2293,0.583,1515,0.833,
Tapira (PR),1995,0.701,1915,0.689,1615,0.619,3362,0.794,
Pinhalão (PR),1995,0.703,2182,0.679,1945,0.601,1747,0.828,
Bom Jesus do Sul (PR),1995,0.700,3021,0.640,930,0.656,2899,0.805,
Rio das Antas (SC),1995,0.705,870,0.727,2578,0.569,2161,0.820,
Canelinha (SC),1995,0.710,961,0.723,3163,0.542,303,0.865,
Dona Francisca (RS),1995,0.697,1091,0.718,2600,0.568,1603,0.831,
Camaquã (RS),1995,0.697,1166,0.715,2377,0.578,2216,0.819,
Maratá (RS),1995,0.697,832,0.729,3207,0.54,372,0.862,
Cambará do Sul (RS),1995,0.697,1424,0.705,2475,0.574,1281,0.838,
Balsa Nova (PR),2028,0.703,1372,0.707,2352,0.579,1987,0.823,
Janiópolis (PR),2028,0.702,1939,0.688,2084,0.593,1846,0.826,
Alto Paraná (PR),2028,0.704,2182,0.679,2210,0.587,901,0.846,
Santa Izabel do Oeste (PR),2028,0.702,2230,0.677,1904,0.603,1846,0.826,
Japira (PR),2028,0.702,2295,0.675,1904,0.603,1798,0.827,
Barbosa Ferraz (PR),2028,0.700,2490,0.667,1492,0.625,2754,0.808,
Santo Antônio do Caiuá (PR),2028,0.701,2842,0.650,1350,0.632,2161,0.820,
Bom Jardim da Serra (SC),2028,0.704,1293,0.710,2600,0.568,1419,0.835,
Abelardo Luz (SC),2028,0.705,2035,0.684,2377,0.578,643,0.852,
Coronel Martins (SC),2028,0.701,2212,0.678,1782,0.609,2357,0.816,
Balneário Pinhal (RS),2028,0.696,1293,0.71,2633,0.567,1370,0.836,
São Jerônimo (RS),2028,0.696,739,0.734,2776,0.56,2064,0.822,
Sarandi (PR),2059,0.703,2119,0.681,2352,0.579,722,0.850,
Anahy (PR),2059,0.703,2405,0.671,2084,0.593,986,0.844,
Pinhal de São Bento (PR),2059,0.699,2448,0.669,1473,0.626,3077,0.801,
Tuneiras do Oeste (PR),2059,0.699,2613,0.662,1416,0.629,2899,0.805,
Ouro Verde (SC),2059,0.699,1707,0.696,1744,0.611,3511,0.790,
São João do Sul (SC),2059,0.703,2090,0.682,2210,0.587,1183,0.840,
Alegria (RS),2059,0.695,1111,0.717,2509,0.572,2259,0.818,
Tapes (RS),2059,0.695,1605,0.699,2866,0.556,372,0.862,
Clevelândia (PR),2078,0.701,1091,0.718,2490,0.573,2504,0.813,
Piên (PR),2078,0.698,2230,0.677,1670,0.616,3026,0.802,
Itambaracá (PR),2078,0.697,2562,0.664,1209,0.639,3540,0.789,
Urubici (SC),2078,0.702,989,0.722,2729,0.562,1987,0.823,
José Boiteux (SC),2078,0.703,1915,0.689,2377,0.578,1128,0.841,
Abdon Batista (SC),2078,0.699,2647,0.660,1492,0.625,2562,0.812,
São João da Urtiga (RS),2078,0.694,1516,0.702,2457,0.575,1747,0.828,
Tupanci do Sul (RS),2078,0.694,1939,0.688,2045,0.595,2259,0.818,
Arvorezinha (RS),2078,0.694,1217,0.713,2457,0.575,2307,0.817,
Agudo (RS),2078,0.694,375,0.752,3502,0.524,846,0.847,
Guairaçá (PR),2105,0.700,1649,0.698,2475,0.574,1704,0.829,
Sulina (PR),2105,0.703,2035,0.684,2557,0.570,581,0.854,
Cafeara (PR),2105,0.699,2061,0.683,1921,0.602,2611,0.811,
São João do Ivaí (PR),2105,0.697,2230,0.677,1744,0.611,2990,0.803,
Ponte Serrada (SC),2105,0.697,1890,0.690,1766,0.610,3511,0.790,
Independência (RS),2105,0.693,1268,0.711,2427,0.576,2504,0.813,
Porto Lucena (RS),2105,0.693,1576,0.7,2457,0.575,1798,0.827,
Senador Salgado Filho (RS),2105,0.693,1547,0.701,2322,0.581,2307,0.817,
Rio Pardo (RS),2105,0.693,1516,0.702,2776,0.56,901,0.846,
Cafezal do Sul (PR),2134,0.696,1996,0.686,1744,0.611,3428,0.792,
Romelândia (SC),2134,0.700,639,0.738,2757,0.561,3129,0.800,
Bossoroca (RS),2134,0.692,2535,0.665,1802,0.608,2112,0.821,
Machadinho (RS),2134,0.692,1268,0.711,2399,0.577,2805,0.807,
São Paulo das Missões (RS),2134,0.692,1939,0.688,2266,0.584,1905,0.825,
Coqueiro Baixo (RS),2134,0.692,1473,0.703,3348,0.532,22,0.886,
Marilândia do Sul (PR),2161,0.698,2562,0.664,1977,0.599,1603,0.831,
Caxambu do Sul (SC),2161,0.706,918,0.725,3522,0.523,204,0.870,
Arambaré (RS),2161,0.691,1768,0.694,2557,0.57,1515,0.833,
Iraí (RS),2161,0.691,2035,0.684,2157,0.59,2216,0.819,
Dom Pedro de Alcântara (RS),2161,0.691,1678,0.697,2399,0.577,2161,0.82,
Lunardelli (PR),2182,0.696,2747,0.655,1822,0.607,1846,0.826,
Campo Erê (SC),2182,0.695,1516,0.702,2045,0.595,3594,0.787,
Major Vieira (SC),2182,0.696,2789,0.653,1649,0.617,2307,0.817,
Porto Vera Cruz (RS),2182,0.69,2626,0.661,1957,0.6,1798,0.827,
Jardim Alegre (PR),2199,0.697,1707,0.696,2578,0.569,1798,0.827,
Esperança Nova (PR),2199,0.694,1890,0.690,2065,0.594,3167,0.799,
Ponte Alta do Norte (SC),2199,0.695,2626,0.661,1857,0.605,2216,0.819,
Quatro Irmãos (RS),2199,0.689,1741,0.695,2671,0.565,1515,0.833,
Terra de Areia (RS),2199,0.689,1605,0.699,2671,0.565,1704,0.829,
Nova Hartz (RS),2199,0.689,1768,0.694,2707,0.563,1370,0.836,
Rolador (RS),2199,0.689,2266,0.676,2352,0.579,1464,0.834,
Sertão Santana (RS),2199,0.689,665,0.737,3300,0.534,1560,0.832,
Muliterno (RS),2199,0.689,596,0.74,3053,0.547,2754,0.808,
Butiá (RS),2199,0.689,1858,0.691,2816,0.558,792,0.848,
Tiradentes do Sul (RS),2199,0.689,1424,0.705,2578,0.569,2407,0.815,
Mangueirinha (PR),2224,0.695,1741,0.695,2352,0.579,2611,0.811,
Nova Fátima (PR),2224,0.695,2119,0.681,2266,0.584,2216,0.819,
Porto Barreiro (PR),2224,0.695,2266,0.676,2185,0.588,2112,0.821,
Querência do Norte (PR),2224,0.693,2490,0.667,1880,0.604,2754,0.808,
Jundiaí do Sul (PR),2224,0.694,2647,0.660,1857,0.605,2307,0.817,
Anita Garibaldi (SC),2224,0.695,2490,0.667,2111,0.592,1846,0.826,
Rolante (RS),2224,0.688,1346,0.708,2924,0.553,1647,0.83,
Roque Gonzales (RS),2224,0.688,1967,0.687,2707,0.563,1032,0.843,
Novo Cabrais (RS),2224,0.688,1678,0.697,3029,0.548,643,0.852,
Rio Azul (PR),2251,0.697,848,0.728,3122,0.544,2216,0.819,
Faxinal (PR),2251,0.692,1678,0.697,2266,0.584,3292,0.796,
Wenceslau Braz (PR),2251,0.692,1817,0.692,2065,0.594,3511,0.790,
Santa Lúcia (PR),2251,0.692,1939,0.688,2111,0.592,3329,0.795,
Antonina (PR),2251,0.696,1996,0.686,2690,0.564,1281,0.838,
Abatiá (PR),2251,0.692,2266,0.676,2035,0.596,2940,0.804,
Jataizinho (PR),2251,0.696,2448,0.669,2475,0.574,943,0.845,
Santana do Itararé (PR),2251,0.696,2767,0.654,2245,0.585,792,0.848,
